,gbif_id,Latine_name,taxon_id,name,in_iNat
98,4990191,Coccinella septempunctata,51702,Coccinella_septempunctata,1
99,4990995,Melolontha melolontha,48197,Melolontha_melolontha,1
100,4991026,Melolontha hippocastani,48196,Melolontha_hippocastani,0
101,4994132,Geotrupes stercorarius,122190,Geotrupes_stercorarius,0
102,4994160,Geotrupes mutator,528470,Geotrupes_mutator,0
103,5035785,Lasius niger,55213,Lasius_niger,0
104,5035857,Lasius flavus,69315,Lasius_flavus,0
105,5037317,Ancistrocerus melanocerus,1479300,Ancistrocerus_melanocerus,0
106,5039039,Osmia leaiana,484588,Osmia_leaiana,0
107,5039096,Osmia caerulescens,199124,Osmia_caerulescens,0
108,5039166,Osmia brevicornis,962039,Osmia_brevicornis,0
109,5039314,Osmia rufa,876599,Osmia_rufa,0
110,5040875,Melitta leporina,484581,Melitta_leporina,0
111,5063973,Lucilia sericata,128824,Lucilia_sericata,1
112,5071172,Leucozona lucorum,464393,Leucozona_lucorum,0
113,5156102,Leptoglossus occidentalis,67771,Leptoglossus_occidentalis,1
114,5742495,Panorpa communis,51699,Panorpa_communis,1
115,5766554,Melanostoma mellinum,324344,Melanostoma_mellinum,0
116,5766556,Melanostoma scalare,70405,Melanostoma_scalare,0
117,5871389,Polistes dominula,84640,Polistes_dominula,1
118,5978844,Tachina fera,52591,Tachina_fera,1
119,7412043,Calopteryx splendens,51824,Calopteryx_splendens,1
120,8703749,Dipogon bifasciatus,1637759,Dipogon_bifasciatus,0
121,9198953,Harpalus rufipes,131099,Harpalus_rufipes,1
122,9295353,Osmia florisomnis,58523,Osmia_florisomnis,0
123,9711771,Trypoxylon figulus,127776,Trypoxylon_figulus,0
124,11195063,Drosophila melanogaster,67743,Drosophila_melanogaster,0
125,11219325,Tabanus bromius,154667,Tabanus_bromius,0
